Target Gift Flag,Control Number,Target Gift Amount,Gift Count 36 Months,Gift Count All Months,Gift Count Card 36 Months,Gift Count Card All Months,Gift Amount Last,Gift Amount Average 36 Months,Gift Amount Average All Months,Gift Amount Average Card 36 Months,Time Since Last Gift,Time Since First Gift,Promotion Count 12 Months,Promotion Count 36 Months,Promotion Count All Months,Promotion Count Card 12 Months,Promotion Count Card 36 Months,Promotion Count Card All Months,Status Category 96NK,Status Category Star All Months,Demographic Cluster,Age,Gender,Home Owner,Median Home Value Region,Percent Veterans Region,Median Income Region,Observation Number
0,16764,.,1,8,0,2,15,25,14.88,.,18,68,13,32,54,6,6,21,A,0,12,35,F,H,102800,26,82719,107
0,16946,.,3,3,2,2,20,14,14,15,17,34,12,29,26,6,14,12,A,0,35,55,F,H,86000,29,60293,120
1,17102,7,5,13,1,4,6,6.8,5.69,7,22,56,12,34,46,6,17,20,S,1,39,.,F,U,68500,24,0,124
0,17333,.,4,7,2,3,12,12,11.29,12,16,41,13,33,37,6,16,15,A,0,40,50,F,U,82800,21,53597,135
1,17378,15,1,4,1,3,20,20,11.25,20,17,53,14,31,38,6,14,15,A,0,34,31,F,H,106400,25,53635,137
0,17517,.,1,4,1,3,15,15,12.25,15,16,64,12,28,45,4,10,14,A,0,35,.,F,U,87300,24,0,138
0,17578,.,4,4,4,4,10,10,10,10,20,33,13,31,31,6,14,12,A,1,35,31,F,H,127400,24,0,148
0,188727,.,3,11,2,4,10,15,11.91,15.5,5,69,12,34,53,6,17,21,A,1,32,67,F,U,56700,28,43231,151
0,17872,.,4,15,2,9,25,14.25,15.4,10,15,130,13,34,73,6,16,31,S,1,34,79,F,H,90900,31,67280,160
0,18055,.,3,6,1,3,20,15,9.5,10,27,65,11,30,43,5,14,17,A,0,47,.,M,U,53600,25,41021,166
0,18067,.,2,9,0,6,15,13.5,8,.,19,130,12,26,61,5,5,24,A,1,47,67,F,H,62500,27,44461,171
1,18196,12,6,43,2,17,13,11.33,7.47,10,15,127,12,34,80,5,16,32,S,1,36,.,M,U,46900,28,40493,178
0,18229,.,2,13,0,8,50,50,21.15,.,18,119,13,35,76,6,6,34,A,1,34,52,F,U,74200,26,0,182
0,18341,.,2,9,2,5,20,14.5,8.22,14.5,21,85,12,31,41,6,15,18,A,1,47,59,F,H,46900,25,32201,188
1,18466,6,4,14,3,7,5,5,3.93,5,15,68,11,26,46,5,12,18,S,1,47,39,F,H,59400,30,44250,197
0,18498,.,3,4,3,3,20,11,9,11,16,29,13,26,26,6,12,10,A,1,41,71,F,U,44200,32,0,199
1,18508,6,4,6,1,1,10,6.25,6.67,5,18,40,13,33,35,6,15,14,A,1,36,.,F,U,63500,26,50251,200
1,18584,12,1,10,1,6,14,14,10.6,14,21,130,14,33,68,5,13,28,A,0,27,75,F,H,67100,49,50628,207
1,18607,23,1,13,0,8,17,17,7.77,.,26,125,9,28,67,4,4,27,A,1,40,37,M,H,79700,30,55991,210
1,18609,10,1,8,1,6,20,20,14,20,23,128,10,27,62,4,11,26,A,0,35,48,F,H,120800,30,55991,211
1,19623,14,5,15,5,10,10,8.2,6.53,8.2,18,62,14,36,52,6,17,21,S,1,34,35,F,U,107000,32,0,212
1,18802,20,2,6,1,4,20,20,14.5,20,16,87,13,34,60,6,16,23,A,0,40,46,M,H,112800,32,92715,213
0,18640,.,3,4,1,1,15,11.67,11.25,15,19,28,12,26,24,6,13,11,A,0,34,49,F,H,130700,36,61112,214
0,18732,.,4,13,1,8,7,5.5,4.23,7,17,125,10,27,56,4,11,23,S,1,23,48,M,H,86700,41,46557,220
0,18740,.,3,3,3,3,15,13.67,13.67,13.67,21,29,12,25,24,6,13,11,A,0,40,77,F,H,65700,29,57099,221
0,19214,.,2,11,1,9,17,16,9.73,15,25,126,11,31,69,4,13,28,A,1,0,56,F,H,79900,0,47572,244
0,190777,.,2,5,1,3,10,15,10.2,10,19,44,13,32,37,6,15,15,A,0,0,63,M,U,64500,0,47572,246
1,19664,10,2,2,2,2,21,18,18,18,17,24,13,23,21,6,11,9,N,0,14,74,M,H,228200,32,85823,270
0,19992,.,1,6,0,5,15,15,8.83,.,18,80,13,32,47,6,6,20,A,0,24,.,M,H,97300,30,46591,288
1,20194,10,5,5,4,4,7,6.2,6.2,6,15,28,13,25,24,5,10,9,A,1,41,61,F,H,39900,32,34923,301
1,19986,10,5,8,3,5,10,10,9,10,16,45,14,34,38,6,15,15,A,0,39,27,M,H,39700,2,29717,303
1,20341,3,5,13,2,8,7,7.4,7.23,7,15,99,11,26,54,5,11,23,S,1,23,49,M,H,142700,58,66263,305
0,14752,.,2,20,1,8,12,11,13.2,10,26,108,10,30,85,4,13,32,A,1,36,33,F,U,45500,41,35776,312
1,145899,20,3,3,1,1,20,14,14,20,21,32,13,27,26,6,13,11,A,0,17,.,F,U,149100,37,0,316
1,20438,10,6,7,2,2,10,7.33,7.14,7.5,15,33,14,32,32,6,15,13,A,0,39,71,M,H,50900,34,31004,317
1,20533,25,3,4,3,3,19,18,15.75,18,21,37,12,30,31,6,15,13,A,0,35,49,M,U,73800,39,65734,325
1,20721,10,5,12,4,8,11,10,8.5,10,17,67,13,32,50,6,17,22,S,1,46,39,F,H,50400,40,29144,339
1,20802,25,1,1,1,1,15,15,15,15,24,24,7,17,15,3,7,6,N,0,36,72,U,U,43600,30,30786,348
0,20997,.,10,12,7,7,6,6.1,6.08,6,16,42,14,33,35,6,16,15,S,1,47,.,M,H,59500,23,40068,356
1,21133,13,8,11,4,4,7,7.63,7,8,15,40,13,31,34,6,16,15,S,1,46,.,F,U,86300,48,0,359
0,21042,.,8,12,4,6,6,5.88,5.08,5.5,20,76,12,32,52,6,16,21,S,1,38,67,F,U,46300,27,41417,361
1,21107,7,2,18,1,13,10,10,8.78,10,24,130,12,30,73,4,11,28,A,1,40,78,U,U,67800,46,0,362
1,21335,10,2,13,0,8,10,10,6.92,.,20,126,7,21,62,3,3,25,S,1,36,.,M,U,52500,28,45627,375
1,21386,10,6,12,5,7,15,9.83,7.83,10.2,17,63,15,34,50,6,15,19,S,1,39,40,F,H,49800,22,39725,378
0,4340,.,1,22,0,4,25,25,18.09,.,18,122,22,44,103,8,8,38,A,0,41,85,M,U,56800,20,0,384
0,9945,.,0,6,0,2,20,0,14.17,.,26,69,26,26,73,5,5,19,A,0,43,47,M,U,50600,22,45586,385
1,21463,11,3,8,2,4,12,10.67,9.25,10,18,113,14,31,55,6,14,23,A,0,36,35,F,H,49900,29,42061,388
1,21539,3,8,29,4,14,3,3.25,3.66,3.5,18,113,13,32,74,6,16,29,S,1,46,57,M,H,99600,34,50679,392
1,21762,8,7,20,3,9,6,6.14,5.5,5.67,16,105,7,27,63,3,13,25,S,1,45,76,F,H,52900,27,36151,403
1,21855,20,1,1,1,1,20,20,20,20,26,26,7,19,16,3,8,7,N,0,46,.,F,U,82400,37,0,413
1,22098,2,11,54,7,25,3,2.73,2.44,2.86,17,128,10,27,76,5,15,32,S,1,36,69,F,H,52900,35,41424,423
0,9605,.,3,17,1,6,10,15,9.47,10,6,81,27,46,101,8,18,26,S,1,48,.,F,U,88700,45,46845,424
0,188026,.,6,24,3,14,11,10.67,8.5,10.67,18,93,7,15,35,2,6,16,E,1,36,.,M,U,63900,33,0,429
1,22188,20,2,3,2,2,6,11,9.33,11,15,21,14,21,20,5,8,7,N,0,0,48,F,H,67900,0,50253,432
1,22438,10,3,13,1,6,10,10.33,8.62,10,16,95,13,31,62,5,13,25,S,1,47,.,F,U,32300,15,0,443
0,22492,.,2,13,2,10,20,20,15.54,20,23,103,12,33,66,6,16,28,A,1,42,.,F,H,69900,38,73048,446
0,22655,.,6,10,5,6,25,22.17,19.4,22.6,18,41,13,31,35,6,16,15,S,1,36,.,F,U,49300,24,0,454
0,22706,.,3,24,2,15,10,7.33,7.38,8.5,17,125,13,32,77,6,15,31,S,1,47,60,M,U,50000,24,0,458
0,22734,.,4,5,0,0,10,7.25,7,.,15,28,13,26,23,6,6,10,A,0,24,65,F,H,90000,45,38934,460
1,2490,3,11,31,6,14,3,4.18,3.36,4.33,7,128,16,37,74,7,18,31,S,1,39,68,M,U,62000,30,41952,467
1,187298,10,2,3,2,2,10,7.5,7,7.5,16,20,6,9,9,2,4,4,E,0,12,.,U,U,101500,47,0,477
1,23003,15,2,18,2,8,13,13,9.67,13,24,105,10,29,69,5,13,27,A,1,12,44,U,U,84800,40,0,479
1,23022,15,3,6,2,3,15,14.33,13.17,14,17,56,14,32,43,6,14,17,A,0,15,51,M,H,77700,37,46493,481
0,23028,.,2,4,1,3,20,15,15,20,15,75,13,29,48,5,11,18,A,0,17,75,F,H,57800,19,46493,482
1,23184,10,2,5,0,3,20,20,14,.,16,80,12,26,49,5,5,18,A,0,30,.,F,U,39100,24,36002,491
1,23321,10,3,12,2,8,10,9.33,7.25,9,22,88,13,33,60,6,16,24,S,1,35,67,F,H,86900,30,49025,495
1,6308,12,3,18,3,10,9,9.67,10.78,9.67,5,115,37,55,116,7,16,35,A,1,47,79,M,U,45400,29,40049,497
1,23732,4,4,20,3,13,6,4.5,4.95,4,18,127,11,29,70,5,14,30,S,1,42,.,F,U,106000,39,0,516
0,23740,.,1,18,0,12,13,13,7.83,.,18,127,11,24,67,4,4,26,A,1,39,42,M,H,69600,35,47997,518
0,23900,.,2,2,2,2,15,12.5,12.5,12.5,17,24,14,25,24,6,11,9,N,0,47,.,M,U,48100,26,36107,523
1,24040,20,3,13,2,7,16,12,8.77,13,23,128,12,33,67,6,16,31,A,1,35,62,M,H,78100,46,41794,530
0,24121,.,4,18,3,12,26,22.75,18.39,23.67,25,123,12,33,75,6,17,31,A,1,50,82,M,H,45300,20,35911,535
1,24152,8,7,19,4,7,7,7.43,6.79,7.5,20,56,12,33,50,4,14,19,S,1,36,73,M,H,78800,41,43720,537
1,24386,18,2,4,0,0,18,17,11.5,.,18,52,12,32,39,6,6,16,A,0,35,48,F,H,97700,27,46891,552
0,24482,.,4,5,2,3,15,10,9,10,16,41,13,32,33,5,13,13,A,1,22,57,F,H,132000,25,64232,557
0,24553,.,3,5,3,3,10,8.67,8.4,8.67,17,29,13,26,25,6,12,10,A,1,30,65,F,H,22300,22,45043,563
0,24654,.,2,3,1,2,15,13.5,12.33,12,18,44,16,31,35,6,12,12,A,0,35,74,F,H,80200,22,56887,567
1,24869,8,7,8,6,6,7,7.71,8,7.33,16,29,14,29,29,6,14,12,A,1,40,37,F,U,68200,27,45845,578
1,25027,5,10,42,6,19,5,5.2,5.07,5,19,115,11,31,77,5,16,32,S,1,43,42,M,H,48200,26,39731,588
0,25020,.,2,2,2,2,16,13,13,13,18,23,12,24,21,6,12,10,N,0,43,.,M,U,48200,26,0,589
0,25110,.,1,16,0,9,25,30,11.38,.,18,127,13,35,76,6,6,33,A,1,40,46,F,H,91000,34,54035,594
0,25106,.,1,9,0,5,15,15,10.44,.,26,105,10,29,62,4,4,25,A,1,49,44,F,H,80300,22,54035,595
1,25277,17,1,1,1,1,15,15,15,15,19,19,10,14,11,4,6,5,F,0,35,76,M,H,74700,51,65141,598
0,25322,.,2,4,0,2,20,12.5,11.25,.,15,66,10,19,37,4,4,12,A,0,36,.,M,U,60400,36,28125,599
1,25448,10,5,19,1,7,8,7.8,6.42,10,15,79,14,35,62,6,17,25,S,1,34,66,M,H,101400,39,51104,605
0,27212,.,2,4,2,3,25,22.5,15.25,22.5,17,45,13,29,34,6,13,13,A,0,49,.,F,U,0,26,0,613
1,27137,10,8,49,7,23,10,10.75,9.92,10.57,23,105,15,34,76,5,16,28,S,1,35,83,F,U,99100,29,0,621
0,26712,.,3,5,2,2,7,7.67,6.8,8,18,24,13,24,22,6,11,9,N,0,35,49,M,H,114900,30,80445,631
1,27597,9,5,15,1,8,10,8.6,5.8,5,15,93,13,33,59,5,14,23,A,1,35,39,M,H,99100,29,75867,633
1,27714,9,3,12,2,7,10,8,6.83,7,15,81,13,31,57,5,13,21,S,1,24,59,M,H,145800,37,57467,638
0,2525,.,4,5,1,1,7,10.5,9.8,9,8,20,25,30,29,9,11,10,F,1,14,41,F,H,160100,23,75004,640
1,186388,10,4,6,2,4,3,7.25,5.83,8.5,9,41,17,29,29,7,12,11,A,1,27,24,F,U,87900,37,77439,649
0,25989,.,2,2,2,2,18,18,18,18,17,21,14,22,21,6,10,8,N,0,12,35,M,H,99200,32,80664,650
0,25981,.,1,1,0,0,25,25,25,.,16,16,12,17,14,5,5,6,F,0,14,53,F,H,148100,28,80664,651
1,26045,14,3,3,1,1,15,9.67,9.67,9,17,27,12,25,22,6,12,10,N,0,22,49,F,H,58300,13,56510,654
1,26289,10,8,29,6,20,11,9.75,8.93,9.67,22,126,14,36,81,6,17,36,S,1,24,51,F,H,117300,36,57919,667
1,26946,30,1,1,1,1,23,23,23,23,20,20,10,17,15,4,7,6,F,0,0,27,F,H,167200,0,105806,682
1,26579,10,8,28,6,13,10,10.13,7.79,10,23,68,13,34,60,6,17,23,S,1,40,54,F,H,85800,49,57487,686
0,13607,.,1,2,1,1,10,15,12.5,15,19,23,22,29,29,3,6,6,N,0,25,.,M,U,135700,9,42801,690
1,26665,30,4,16,4,8,25,11.25,7.38,11.25,21,113,9,20,46,5,14,22,A,1,41,.,M,U,67000,36,0,694
0,25788,.,1,5,1,3,17,17,11.8,17,17,69,12,29,48,5,12,18,A,0,40,47,M,H,76500,33,50076,697
1,26669,1,3,6,2,3,4,6.67,5.83,5,16,21,14,21,21,6,10,9,N,0,49,.,F,U,47700,27,0,698
0,26878,.,13,21,8,8,5,3.69,3.29,3.63,16,43,14,33,39,6,16,15,S,1,43,.,M,U,62700,26,0,703
1,26887,30,0,1,0,0,25,0,25,.,22,22,10,10,16,4,4,6,N,0,12,49,F,H,91400,38,67625,705
1,26924,60,2,4,0,2,50,37.5,23.75,.,18,69,13,28,46,6,6,17,A,0,0,68,M,H,116600,0,78798,707
0,25548,.,2,4,0,1,15,13,9,.,20,40,11,29,29,5,5,12,A,0,18,.,F,U,76300,30,0,714
1,27217,15,2,2,2,2,30,20,20,20,16,27,13,27,23,6,13,11,A,0,47,.,F,U,50300,25,0,721
1,27484,10,3,16,1,7,12,11.33,8,10,19,114,12,32,74,5,14,31,A,1,40,75,M,H,101000,31,54898,726
0,27824,.,7,15,4,7,6,6.71,6.33,6.75,22,74,11,31,51,5,15,21,A,1,49,34,F,H,99300,31,60862,738
0,27835,.,8,9,6,6,25,25,25,25,21,33,13,31,31,6,15,13,S,1,49,.,F,U,54400,33,53387,741
0,187611,.,3,6,2,4,15,13,11,12,17,41,7,15,17,2,6,7,E,1,40,.,F,U,91700,31,0,745
1,28061,5,9,33,5,18,5,5,5.48,5,15,128,12,31,79,5,15,32,S,1,40,38,F,H,94800,40,59522,751
0,28147,.,2,6,0,4,16,15,12,.,18,80,13,29,53,4,4,18,A,1,13,78,M,H,504200,36,133051,759
0,28150,.,1,11,0,7,26,26,17.82,.,26,123,11,29,68,5,5,27,A,1,13,17,F,U,344300,35,133051,760
0,26467,.,8,13,4,6,5,4.63,3.92,4.25,15,45,15,35,41,6,16,16,S,1,15,.,M,U,139500,20,0,768
0,28461,.,2,14,0,9,6,9.5,5.57,.,17,126,12,31,68,6,6,31,S,1,15,87,F,U,135900,29,48183,774
0,28610,.,1,3,1,3,20,20,15,20,24,41,10,23,24,5,11,10,A,0,17,.,F,U,60400,27,0,783
1,28713,21,2,10,2,8,19,19,15.1,19,22,92,12,33,62,6,16,26,A,1,14,49,F,U,330600,36,0,790
1,28960,10,3,3,2,2,10,10,10,10,16,23,13,21,18,6,10,8,N,0,39,.,F,H,71700,29,54888,804
1,29103,11,2,16,2,6,12,11,5.81,11,17,86,13,33,63,6,15,24,A,1,48,69,F,U,71800,31,37561,810
1,29130,10,4,5,2,2,6,10.5,9.6,10,15,33,13,30,29,6,14,12,A,0,44,30,M,H,66400,25,47000,814
1,28890,15,5,10,2,4,20,12,8,7.5,20,44,13,33,40,6,17,17,S,1,38,52,M,U,55300,25,0,815
1,29141,20,3,7,1,2,15,13.67,11.86,12,16,63,13,33,49,6,15,18,A,1,43,50,M,H,52300,24,41277,816
0,29092,.,4,23,3,10,10,6,5.43,6,18,77,14,34,63,6,17,24,S,1,39,.,F,U,68400,22,0,817
1,29348,5,4,18,3,13,3,5,5.06,5.67,20,125,9,26,64,4,11,26,S,1,49,.,M,U,59800,26,46250,826
0,29569,.,6,7,3,3,5,5.33,5.43,5.67,16,29,12,27,25,6,14,12,A,1,30,73,M,H,48700,43,36294,844
1,29868,25,1,1,0,0,20,20,20,.,16,16,11,16,13,5,5,6,F,0,40,38,F,H,80300,39,61802,858
1,30185,30,2,3,0,0,15,12.5,10,.,26,39,10,29,30,4,4,12,A,0,39,33,F,U,74800,48,46174,872
0,30255,.,4,19,2,10,12,11.75,9.84,11,17,86,13,34,71,6,17,27,S,1,27,84,M,H,41300,40,54342,874
1,12626,9,4,5,4,4,9,7.75,8.2,7.75,17,24,21,31,39,6,12,10,N,1,47,.,F,U,53300,25,0,877
0,189044,.,2,8,1,3,15,22,14.75,25,4,104,13,34,64,6,16,27,A,0,0,82,M,U,65700,0,63162,886
1,30629,17,2,2,2,2,15,10,10,10,24,29,9,21,20,4,9,8,A,0,28,83,F,H,68000,40,40035,892
0,55115,.,1,2,0,1,15,15,12.5,.,26,53,9,23,31,4,4,12,A,0,15,48,M,U,84400,7,50041,894
1,30745,25,3,4,1,1,15,13.33,12.5,15,21,32,13,28,32,6,14,12,A,0,41,.,F,U,71700,21,50041,895
0,30855,.,1,1,1,1,20,20,20,20,19,19,10,17,16,4,7,6,F,0,35,40,F,H,133600,41,75881,897
0,30981,.,2,3,2,2,6,11,9.33,11,15,24,11,21,20,5,9,8,N,0,40,73,M,H,67300,36,44341,900
0,31217,.,2,17,1,12,10,8,5.35,6,19,127,13,33,69,6,15,32,A,1,36,.,F,H,60700,49,32377,911
0,31313,.,3,3,0,0,24,15.33,15.33,.,18,27,13,27,23,6,6,11,N,0,40,31,M,H,58000,25,50326,916
0,31339,.,2,7,1,4,10,17.5,17.86,10,23,77,13,33,59,6,16,22,A,0,36,48,F,U,46100,29,0,917
0,31405,.,3,4,3,3,15,9,8,9,15,44,10,27,32,3,10,12,E,1,36,.,F,U,57500,30,39513,921
0,31496,.,1,2,0,0,20,20,15,.,16,31,11,24,22,5,5,9,A,0,46,75,M,U,53100,25,44167,928
0,31685,.,3,30,1,15,10,10.67,3.83,10,19,128,12,33,78,5,15,32,A,1,28,71,F,H,54200,41,54679,931
0,31702,.,1,6,1,6,15,15,9.33,15,21,99,10,23,52,4,9,21,A,1,49,63,F,H,67600,33,48490,932
1,31746,6,5,9,1,2,5,9,8.33,5,25,45,12,34,41,5,16,16,S,1,39,69,M,H,57600,30,62576,934
1,31735,19,2,2,2,2,17,11,11,11,21,29,10,22,22,4,9,8,A,0,34,.,F,H,88100,41,62576,935
0,32812,.,10,18,6,8,5,6.3,5.94,6.33,16,68,14,34,58,6,16,21,S,1,24,57,U,U,71400,37,0,938
0,1396,.,5,24,3,12,12,17.4,14.67,15.67,17,112,16,35,92,6,16,34,S,1,17,49,M,H,73000,38,43156,952
0,32230,.,10,18,7,11,5,4.5,4.06,4.57,18,91,13,31,51,6,17,24,S,1,20,73,F,H,97200,56,46736,958
1,32380,5,6,17,5,14,5,5.33,4.76,5,21,105,11,28,66,5,14,26,S,1,29,74,M,H,82500,64,46476,960
1,32475,20,3,5,2,2,20,20,16.4,20,18,40,13,35,40,6,17,16,A,0,36,.,M,U,81400,44,42391,967
1,32538,6,8,13,7,9,7,6,5.31,6.14,20,44,11,31,37,6,17,17,S,1,16,82,F,H,75200,33,49601,970
1,33295,11,6,11,1,4,11,7.17,5.91,11,20,73,13,32,54,6,15,20,S,1,0,.,F,U,32800,0,45725,979
0,32753,.,4,22,1,9,10,7.5,7.32,5,19,121,15,36,80,6,16,31,S,1,28,77,M,H,44800,40,38750,980
1,32880,10,2,5,2,3,15,17.5,12.2,17.5,16,53,13,32,41,6,14,15,A,0,17,57,F,H,69500,40,47318,990
0,32905,.,3,8,1,2,30,28.33,23.13,25,16,56,13,33,48,6,17,21,A,0,13,53,F,H,82000,31,51381,992
1,14370,5,1,48,0,11,0,5,4.5,.,18,144,31,51,113,5,5,28,A,1,16,54,F,U,63700,50,48581,998
1,191779,150,1,1,1,1,25,25,25,25,24,24,9,19,18,4,8,7,N,0,0,70,M,U,143200,62,79635,1023
1,33512,19,1,2,1,1,16,16,13,16,16,21,13,20,17,6,10,8,N,0,50,63,F,H,39700,23,42726,1024
0,11737,.,3,9,2,3,31,22.33,17.97,26,20,43,37,59,74,11,22,23,F,1,45,.,M,U,41700,40,33164,1036
1,33773,20,2,2,2,2,16,13,13,13,24,35,9,24,22,4,11,10,A,0,42,.,F,H,91500,58,51004,1040
0,33977,.,2,19,1,6,10,5.5,5.84,5,18,89,15,35,65,6,15,24,S,1,21,70,F,U,46800,39,46667,1044
1,182144,7,12,22,8,13,7,8,7.14,7.88,15,65,15,33,52,6,17,21,S,1,20,45,F,U,55900,33,0,1046
0,34166,.,4,4,3,3,15,10.25,10.25,10,21,35,12,29,27,6,14,12,A,0,36,25,M,H,74100,35,48339,1052
0,34328,.,3,15,1,7,13,11,6.8,13,22,104,11,31,65,5,14,26,A,1,24,.,F,U,62000,27,0,1057
0,34417,.,5,11,3,5,14,15,12.09,14.33,15,64,14,36,53,6,17,21,A,0,43,21,F,H,44300,46,37610,1060
1,25678,20,3,8,2,6,15,11.67,8.88,13.5,16,88,13,31,57,5,13,21,A,1,23,.,M,H,72100,44,43551,1066
0,34612,.,2,10,2,4,25,24,21.6,24,15,64,29,50,72,6,17,22,A,1,30,.,M,H,49300,56,49337,1068
1,34591,23,8,15,5,12,15,19,19.67,19.2,15,105,14,34,69,6,16,29,A,0,18,63,M,H,83500,45,49337,1071
1,34909,20,4,17,4,14,10,12.5,9.76,12.5,20,127,10,27,74,5,15,30,S,1,27,62,M,H,65400,31,42475,1090
0,35055,.,4,15,2,9,10,13.75,11.27,12.5,18,105,13,34,69,6,17,29,S,1,37,17,M,U,106600,39,68639,1099
1,35101,20,4,12,3,8,31,23.25,18,24,18,115,16,35,67,6,15,28,S,1,12,78,M,H,143400,25,41343,1105
1,190597,12,4,26,3,16,10,10,7.04,10,15,123,13,34,78,6,16,31,S,1,27,50,F,U,73700,29,53710,1122
1,35553,20,1,12,0,6,18,18,10.67,.,26,113,10,31,71,5,5,27,A,1,16,.,F,U,72600,39,0,1127
0,35617,.,3,10,1,7,10,13.33,8.6,20,16,80,13,29,42,6,14,20,A,0,18,57,F,H,82800,27,47407,1129
1,35947,14,2,12,1,8,14,13,7.67,12,25,129,9,25,61,4,11,26,A,1,17,72,F,H,57500,28,34796,1148
0,35969,.,2,5,1,3,15,15,11,15,18,53,12,33,42,6,16,17,A,0,39,53,F,H,69800,27,45763,1152
1,36069,11,3,5,2,4,11,9.67,8.2,10,16,53,15,32,39,6,13,14,A,0,26,79,M,U,118800,50,52936,1158
1,33359,10,6,14,4,10,10,10,8.43,9.75,15,119,15,32,67,6,15,29,S,1,20,61,F,U,73700,43,42953,1159
1,13484,11,1,3,1,1,15,15,15,15,16,19,18,23,26,2,4,5,F,0,24,.,M,H,103400,49,58016,1161
1,36353,17,2,4,1,2,15,13,9.5,11,16,53,12,31,39,6,14,15,A,0,29,76,F,H,134400,63,43368,1168
0,36348,.,7,10,5,6,5,5,5,5,17,41,13,31,36,6,16,15,A,1,30,81,M,H,42600,41,43368,1169
1,36371,11,5,14,3,7,10,8.4,7.29,7.67,19,104,13,35,67,6,17,27,A,1,23,.,M,H,425900,61,110149,1171
1,36472,13,2,7,1,3,12,12,7.14,12,16,66,13,23,38,6,10,15,A,1,23,57,F,H,225000,33,34619,1177
1,36528,25,1,4,0,2,50,50,25,.,18,89,15,28,51,6,6,19,A,0,19,74,F,H,93400,5,31141,1182
0,36625,.,7,8,3,4,5,9.57,9.63,10,20,37,12,31,30,6,15,14,S,1,19,.,F,U,102400,14,0,1187
1,39020,21,1,2,1,2,15,15,12.5,15,21,41,10,26,30,4,10,10,A,0,14,49,M,U,72400,35,46301,1194
1,36774,21,2,2,1,1,15,10,10,5,19,33,10,23,22,4,9,8,A,0,12,53,M,H,90200,27,46301,1195
0,36853,.,4,5,3,3,10,10.25,9.2,10.33,21,35,12,28,28,6,15,13,A,0,11,42,M,H,96600,32,64750,1201
0,36880,.,2,9,1,6,21,20,12.89,21,17,120,13,33,63,6,16,28,A,1,20,56,M,H,95900,31,60980,1204
1,9049,15,2,11,0,3,12,9.5,8.82,.,16,53,29,47,63,6,6,16,A,1,30,51,F,H,58600,19,31314,1208
0,37047,.,3,19,0,10,5,5,5.89,.,15,123,10,28,67,5,5,28,S,1,27,86,F,H,162500,21,46728,1212
0,38743,.,1,1,1,1,15,15,15,15,16,16,11,16,13,4,6,5,F,0,2,53,M,H,146700,31,61523,1221
