ADDRESS,TYPE,SELLERG,REGIONNAME,AREANUM,DISTANCE_INTERVAL,ROOMS,BATHROOM,CAR,LANDSIZE,BUILDINGAR,PRICE_INTERVAL
Hawker St,t,Brad,Western Metropolitan,7.0,10-15 km,3,2.0,2.0,239.0,134.0,500k-1M
Hillside Gr,h,Maddison,Western Metropolitan,7.0,10-15 km,3,1.0,1.0,290.0,116.0,500k-1M
McIntosh St,u,Barry,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,168.0,86.0,500k-1M
Harrington Rd,h,Barry,Western Metropolitan,7.0,10-15 km,6,3.0,2.0,976.0,186.0,500k-1M
Parer Rd,t,Barry,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,110.0,90.0,300k-500k
Hart St,u,Barry,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,141.0,73.0,500k-1M
Clydesdale Rd,u,Nelson,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,120.0,94.0,500k-1M
Deidre Ct,h,Rendina,Western Metropolitan,7.0,10-15 km,3,1.0,6.0,1063.0,133.0,500k-1M
Etzel St,h,Nelson,Western Metropolitan,7.0,10-15 km,3,1.0,1.0,0.0,105.0,500k-1M
Cameron St,u,Nelson,Western Metropolitan,7.0,10-15 km,3,1.0,1.0,265.0,130.0,500k-1M
Earl St,t,Brad,Western Metropolitan,7.0,10-15 km,3,2.0,2.0,165.0,133.0,500k-1M
Parer Rd,h,Barry,Western Metropolitan,7.0,10-15 km,3,1.0,2.0,971.0,113.0,500k-1M
Parer Rd,h,Barry,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,612.0,100.0,500k-1M
Victory Rd,h,Nelson,Western Metropolitan,7.0,10-15 km,3,2.0,5.0,612.0,174.0,1M-1.5M
Kittyhawk St,h,Brad,Western Metropolitan,7.0,10-15 km,4,3.0,4.0,531.0,309.0,500k-1M
Fullarton Rd,h,Barry,Western Metropolitan,7.0,10-15 km,3,3.0,2.0,555.0,192.0,500k-1M
Marshall Rd,h,Rendina,Western Metropolitan,7.0,10-15 km,3,2.0,2.0,422.0,126.0,500k-1M
South Rd,t,Nelson,Western Metropolitan,7.0,10-15 km,3,2.0,1.0,161.0,101.0,500k-1M
North St,t,Barry,Western Metropolitan,7.0,10-15 km,3,2.0,1.0,293.0,102.0,500k-1M
Hilbert Rd,h,Barry,Western Metropolitan,7.0,10-15 km,3,1.0,1.0,579.0,113.0,500k-1M
Roberts Rd,h,Harcourts,Western Metropolitan,7.0,10-15 km,4,2.0,3.0,628.0,146.0,500k-1M
Kerferd Rd,h,hockingstuart,Southern Metropolitan,2.0,< 5 km,2,1.0,0.0,120.0,82.0,1M-1.5M
Beaconsfield Pde,h,Buxton,Southern Metropolitan,2.0,< 5 km,3,2.0,0.0,211.0,198.0,2.5M-3M
Graham St,h,Greg,Southern Metropolitan,2.0,< 5 km,3,2.0,0.0,128.0,133.0,1.5M-2M
Montague St,h,RT,Southern Metropolitan,2.0,< 5 km,2,1.0,0.0,130.0,81.0,1M-1.5M
Richardson St,h,Marshall,Southern Metropolitan,2.0,< 5 km,4,2.0,1.0,153.0,180.0,2M-2.5M
Moubray St,h,Greg,Southern Metropolitan,2.0,< 5 km,3,2.0,1.0,132.0,159.0,1.5M-2M
Faussett St,h,Greg,Southern Metropolitan,2.0,< 5 km,2,1.0,1.0,199.0,107.0,2M-2.5M
Kerferd Pl,h,Marshall,Southern Metropolitan,2.0,< 5 km,3,2.0,1.0,90.0,122.0,1.5M-2M
Dundas Pl,h,Cayzer,Southern Metropolitan,2.0,< 5 km,3,2.0,1.0,177.0,181.0,2.5M-3M
Gatehouse La,h,Greg,Southern Metropolitan,2.0,< 5 km,3,2.0,2.0,0.0,85.0,1M-1.5M
Graham St,h,Greg,Southern Metropolitan,2.0,< 5 km,2,1.0,0.0,149.0,98.0,1M-1.5M
Montague St,h,Greg,Southern Metropolitan,2.0,< 5 km,2,1.0,0.0,141.0,83.0,1.5M-2M
Mills St,h,RT,Southern Metropolitan,2.0,< 5 km,3,2.0,1.0,211.0,147.0,2M-2.5M
Page St,h,Greg,Southern Metropolitan,2.0,< 5 km,3,2.0,0.0,147.0,146.0,3M+
Withers St,h,Cayzer,Southern Metropolitan,2.0,< 5 km,4,3.0,1.0,327.0,254.0,2.5M-3M
Merton St,h,Marshall,Southern Metropolitan,2.0,< 5 km,3,1.0,1.0,120.0,123.0,2M-2.5M
Page St,h,Marshall,Southern Metropolitan,2.0,< 5 km,3,1.0,1.0,238.0,131.0,2M-2.5M
Moubray St,u,Marshall,Southern Metropolitan,2.0,< 5 km,1,1.0,0.0,0.0,34.0,300k-500k
Page St,h,Marshall,Southern Metropolitan,2.0,< 5 km,4,2.0,1.0,330.0,207.0,3M+
Barrett St,h,Greg,Southern Metropolitan,2.0,< 5 km,4,2.0,1.0,183.0,145.0,2M-2.5M
Brooke St,h,Greg,Southern Metropolitan,2.0,< 5 km,2,1.0,0.0,79.0,68.0,500k-1M
Reed St,h,Marshall,Southern Metropolitan,2.0,< 5 km,3,2.0,2.0,147.0,134.0,1.5M-2M
Durham St,h,Marshall,Southern Metropolitan,2.0,< 5 km,1,1.0,0.0,81.0,54.0,500k-1M
Smith St,h,Brace,Northern Metropolitan,3.0,5-10 km,4,2.0,4.0,853.0,263.0,2M-2.5M
Shiers St,h,Collins,Northern Metropolitan,3.0,5-10 km,4,2.0,1.0,599.0,203.0,1.5M-2M
Fulham Rd,h,Nelson,Northern Metropolitan,3.0,5-10 km,5,4.0,4.0,809.0,165.0,2.5M-3M
Harker St,u,Miles,Northern Metropolitan,3.0,5-10 km,2,1.0,1.0,88.0,60.0,500k-1M
Miller St,t,Miles,Northern Metropolitan,3.0,5-10 km,2,2.0,3.0,155.0,140.0,500k-1M
Bennett St,h,Nelson,Northern Metropolitan,3.0,5-10 km,4,2.0,2.0,606.0,112.0,1.5M-2M
Bennett St,h,Nelson,Northern Metropolitan,3.0,5-10 km,4,2.0,2.0,575.0,271.0,2M-2.5M
Hamilton St,h,hockingstuart,Northern Metropolitan,3.0,5-10 km,3,1.0,1.0,180.0,131.0,500k-1M
Yarana Rd,u,Nelson,Northern Metropolitan,3.0,5-10 km,2,1.0,1.0,0.0,60.0,300k-500k
Fulham Rd,u,Love,Northern Metropolitan,3.0,5-10 km,2,1.0,1.0,0.0,61.0,500k-1M
Margaret Gr,h,McGrath,Northern Metropolitan,3.0,5-10 km,4,2.0,2.0,556.0,272.0,1.5M-2M
Shiers St,h,Jellis,Northern Metropolitan,3.0,5-10 km,4,2.0,3.0,589.0,210.0,1.5M-2M
Queen St,h,Greg,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,352.0,242.0,500k-1M
Bracken Gr,h,Greg,Western Metropolitan,8.0,10-15 km,5,3.0,3.0,729.0,268.0,1.5M-2M
Blyth St,t,hockingstuart,Western Metropolitan,8.0,10-15 km,2,1.0,2.0,292.0,125.0,500k-1M
Blyth St,h,Barlow,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,506.0,120.0,1M-1.5M
Rose St,h,Greg,Western Metropolitan,8.0,10-15 km,4,3.0,6.0,1057.0,220.0,1.5M-2M
Blyth St,u,Barlow,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,311.0,94.0,500k-1M
Maidstone St,h,Greg,Western Metropolitan,8.0,10-15 km,3,1.0,1.0,602.0,123.0,500k-1M
Queen St,u,Barlow,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,225.0,93.0,500k-1M
Queen St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,3,1.0,4.0,777.0,22.0,1M-1.5M
Grieve Pde,u,Village,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,127.0,76.0,500k-1M
Rose St,u,hockingstuart,Western Metropolitan,8.0,10-15 km,2,1.0,2.0,115.0,57.0,300k-500k
Millers Rd,u,Greg,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,0.0,65.0,300k-500k
Wren St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,4,1.0,2.0,745.0,130.0,500k-1M
Blyth St,u,Barlow,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,69.0,141.0,500k-1M
Sargood St,u,Burnham,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,137.0,77.0,300k-500k
Fenfield St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,606.0,87.0,500k-1M
David St,u,Biggin,Western Metropolitan,8.0,10-15 km,2,2.0,1.0,175.0,76.0,500k-1M
McIntyre Dr,h,Greg,Western Metropolitan,8.0,10-15 km,3,2.0,2.0,534.0,136.0,500k-1M
Mulga St,u,Williams,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,205.0,113.0,500k-1M
Maidstone St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,2,2.0,1.0,675.0,100.0,500k-1M
Blyth St,u,Barlow,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,70.0,3.0,500k-1M
David St,h,Compton,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,154.0,91.0,500k-1M
Hearn St,h,FN,Western Metropolitan,8.0,10-15 km,5,3.0,6.0,592.0,251.0,1M-1.5M
Knapp St,h,Jas,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,533.0,117.0,500k-1M
Marion St,t,hockingstuart,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,77.0,77.0,300k-500k
Carthy St,h,FN,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,534.0,167.0,500k-1M
Little St,h,Greg,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,0.0,130.0,500k-1M
Mills St,h,Williams,Western Metropolitan,8.0,10-15 km,3,1.0,1.0,328.0,118.0,500k-1M
Binns St,h,Village,Western Metropolitan,8.0,10-15 km,3,1.0,3.0,540.0,116.0,500k-1M
Allan St,h,Jas,Western Metropolitan,8.0,10-15 km,4,1.0,4.0,559.0,169.0,500k-1M
May St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,3,2.0,2.0,171.0,109.0,500k-1M
Beevers St,h,Greg,Western Metropolitan,8.0,10-15 km,3,1.0,2.0,585.0,97.0,500k-1M
Millers Rd,h,Raine&Horne,Western Metropolitan,8.0,10-15 km,4,2.0,4.0,315.0,170.0,500k-1M
Chambers Rd,h,Hunter,Western Metropolitan,8.0,10-15 km,3,2.0,2.0,276.0,100.0,500k-1M
Gadsden St,h,Jas,Western Metropolitan,8.0,10-15 km,3,1.0,1.0,531.0,157.0,500k-1M
Hansen St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,3,2.0,1.0,590.0,160.0,500k-1M
Hill St,h,hockingstuart,Western Metropolitan,8.0,10-15 km,3,2.0,3.0,555.0,130.0,500k-1M
Cresser St,h,RT,Western Metropolitan,8.0,10-15 km,4,1.0,4.0,633.0,158.0,1M-1.5M
Blackshaws Rd,u,Jas,Western Metropolitan,8.0,10-15 km,2,1.0,1.0,153.0,70.0,0-300k
Mercer Rd,u,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,76.0,500k-1M
Denbigh Rd,u,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,0.0,100.0,500k-1M
High St,t,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,101.0,105.0,1M-1.5M
Llaneast St,h,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,296.0,150.0,1.5M-2M
Cambridge St,h,Hodges,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,217.0,116.0,1.5M-2M
Mercer Rd,t,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,0.0,165.0,1.5M-2M
Willis St,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,1.0,205.0,116.0,2M-2.5M
Mercer Rd,u,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,1.0,2113.0,14.0,500k-1M
William St,h,Jellis,Southern Metropolitan,6.0,5-10 km,1,2.0,1.0,144.0,107.0,1M-1.5M
Dandenong Rd,u,hockingstuart,Southern Metropolitan,6.0,5-10 km,1,1.0,1.0,0.0,38.0,0-300k
Sutherland Rd,u,hockingstuart,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,73.0,500k-1M
New St,h,Marshall,Southern Metropolitan,6.0,5-10 km,2,1.0,0.0,249.0,96.0,1M-1.5M
Northcote Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,624.0,222.0,2.5M-3M
High St,h,RT,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,405.0,121.0,1.5M-2M
Llaneast St,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,1.0,2.0,495.0,163.0,2M-2.5M
Dandenong Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,6,3.0,4.0,1491.0,516.0,3M+
Orrong Rd,u,Jellis,Southern Metropolitan,6.0,5-10 km,1,1.0,1.0,0.0,53.0,300k-500k
New St,h,Jellis,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,212.0,106.0,1M-1.5M
Armadale St,u,Greg,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,74.0,500k-1M
Kooyong Rd,u,Marshall,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,98.0,500k-1M
Denbigh Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,328.0,108.0,1.5M-2M
Armadale St,u,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,2471.0,80.0,500k-1M
Denbigh Rd,u,hockingstuart,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,88.0,500k-1M
Sutherland Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,186.0,80.0,1M-1.5M
Dandenong Rd,u,hockingstuart,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,76.0,500k-1M
Denbigh Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,1.0,2.0,709.0,251.0,3M+
Hampden Rd,h,Kay,Southern Metropolitan,6.0,5-10 km,4,3.0,3.0,563.0,333.0,3M+
High St,t,Jellis,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,103.0,3.0,1M-1.5M
Mercer Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,617.0,285.0,3M+
Mercer Rd,u,Jellis,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,0.0,91.0,500k-1M
Orrong Rd,u,hockingstuart,Southern Metropolitan,6.0,5-10 km,1,1.0,1.0,0.0,53.0,500k-1M
Rothwell St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,1.0,2.0,298.0,108.0,500k-1M
Rothwell St,u,Brad,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Francis St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,277.0,174.0,1M-1.5M
Harold St,u,Jellis,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,423.0,62.0,300k-500k
The Parade,h,Brad,Western Metropolitan,1.0,5-10 km,4,3.0,1.0,478.0,270.0,1.5M-2M
Epsom Rd,h,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,285.0,128.0,500k-1M
Geddes St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,214.0,77.0,500k-1M
Maribyrnong Rd,h,Brad,Western Metropolitan,1.0,5-10 km,6,3.0,2.0,1014.0,435.0,2M-2.5M
Roseberry St,h,Maddison,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,226.0,92.0,500k-1M
Fenton St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,269.0,109.0,1M-1.5M
McCully St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,417.0,168.0,1M-1.5M
Epsom Rd,h,Brad,Western Metropolitan,1.0,5-10 km,3,1.0,2.0,350.0,125.0,500k-1M
Kent St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,118.0,79.0,500k-1M
The Parade,h,Raine,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,173.0,102.0,500k-1M
Epsom Rd,u,Brad,Western Metropolitan,1.0,5-10 km,2,1.0,2.0,228.0,90.0,500k-1M
Monash St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,1.0,2.0,594.0,148.0,1M-1.5M
Francis St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,226.0,87.0,500k-1M
Mirams St,h,Raine,Western Metropolitan,1.0,5-10 km,4,1.0,1.0,300.0,185.0,500k-1M
The Parade,h,Nelson,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,487.0,131.0,1M-1.5M
Newsom St,h,Brad,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,440.0,120.0,1M-1.5M
Pentland St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,532.0,147.0,1M-1.5M
The Parade,u,Alexkarbon,Western Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,58.0,300k-500k
Monash St,h,Jellis,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,495.0,139.0,1M-1.5M
Fenton St,h,Nelson,Western Metropolitan,1.0,5-10 km,4,2.0,2.0,683.0,232.0,1M-1.5M
Munro St,h,Brad,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,263.0,117.0,500k-1M
Epsom Rd,h,Nelson,Western Metropolitan,1.0,5-10 km,4,2.0,5.0,559.0,195.0,1M-1.5M
Ormond Rd,u,Biggin,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Angler Pde,h,Raine,Western Metropolitan,1.0,5-10 km,4,3.0,2.0,562.0,204.0,1.5M-2M
Ayr St,h,Nelson,Western Metropolitan,1.0,5-10 km,6,2.0,1.0,461.0,286.0,1M-1.5M
Epsom Rd,u,Brad,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,301.0,104.0,500k-1M
The Parade,h,Nelson,Western Metropolitan,1.0,5-10 km,3,3.0,1.0,491.0,127.0,500k-1M
Mirams St,h,Brad,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,242.0,110.0,500k-1M
Hurtle St,h,Brad,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,617.0,149.0,1M-1.5M
Walter St,h,Raine,Western Metropolitan,1.0,5-10 km,4,2.0,2.0,597.0,180.0,1M-1.5M
Walter St,t,Nelson,Western Metropolitan,1.0,5-10 km,2,2.0,1.0,146.0,132.0,500k-1M
Milton St,u,Alexkarbon,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Geddes St,h,Alexkarbon,Western Metropolitan,1.0,5-10 km,3,1.0,2.0,506.0,110.0,1M-1.5M
Newsom St,t,Jellis,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,318.0,160.0,1M-1.5M
Roseberry St,u,McDonald,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,65.0,300k-500k
Bloomfield Rd,h,Nelson,Western Metropolitan,1.0,5-10 km,4,2.0,0.0,418.0,158.0,1M-1.5M
Middle St,h,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,1.0,272.0,157.0,1M-1.5M
Francis St,h,Brad,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,296.0,104.0,1M-1.5M
Geddes St,h,Nelson,Western Metropolitan,1.0,5-10 km,4,2.0,1.0,298.0,147.0,500k-1M
Epsom Rd,u,Jellis,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,1957.0,69.0,300k-500k
Mirams St,h,Jellis,Western Metropolitan,1.0,5-10 km,4,1.0,1.0,552.0,155.0,1M-1.5M
Walter St,h,Barry,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,416.0,168.0,1M-1.5M
Dalgety Dr,h,Jellis,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,285.0,172.0,500k-1M
Dalgety Dr,h,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,1.0,314.0,177.0,500k-1M
Waller Ct,h,Brad,Western Metropolitan,1.0,5-10 km,3,2.0,1.0,576.0,120.0,500k-1M
Ascot St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,3.0,252.0,108.0,500k-1M
Kent St,h,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,1.0,124.0,77.0,500k-1M
East St,t,Nelson,Western Metropolitan,1.0,5-10 km,3,2.0,2.0,200.0,144.0,1M-1.5M
Bloomfield Rd,h,Barry,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,278.0,166.0,1M-1.5M
Bloomfield Rd,h,Stockdale,Western Metropolitan,1.0,5-10 km,3,1.0,1.0,452.0,175.0,1M-1.5M
Epsom Rd,u,Nelson,Western Metropolitan,1.0,5-10 km,2,1.0,2.0,194.0,71.0,500k-1M
Doncaster St,h,Jellis,Western Metropolitan,1.0,5-10 km,4,2.0,4.0,598.0,273.0,1.5M-2M
Dent St,h,Marshall,Southern Metropolitan,6.0,10-15 km,4,3.0,2.0,753.0,399.0,2.5M-3M
Albion Rd,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,599.0,220.0,1.5M-2M
Solway St,t,Fletchers,Southern Metropolitan,6.0,10-15 km,3,3.0,4.0,310.0,315.0,2M-2.5M
Dunlop St,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,731.0,149.0,1.5M-2M
Nicholas St,h,Marshall,Southern Metropolitan,6.0,10-15 km,3,3.0,2.0,276.0,178.0,1M-1.5M
Nicholas St,h,Buxton,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,583.0,112.0,1M-1.5M
Ashburn Gr,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,8,7.0,4.0,1472.0,618.0,2.5M-3M
Nairn St,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,516.0,145.0,1.5M-2M
Gona Ct,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,806.0,101.0,1.5M-2M
Yuile St,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,1.0,3.0,780.0,152.0,1.5M-2M
Yuile St,h,Marshall,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,780.0,180.0,1.5M-2M
Glen Rd,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,351.0,228.0,1.5M-2M
Glen Rd,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,3.0,702.0,145.0,1.5M-2M
Yuile St,h,Jellis,Southern Metropolitan,6.0,10-15 km,5,5.0,2.0,755.0,444.0,3M+
Ashburn Gr,t,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,153.0,110.0,500k-1M
Comas Gr,h,Jellis,Southern Metropolitan,6.0,10-15 km,5,4.0,2.0,1075.0,390.0,2.5M-3M
Mustang Ct,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,710.0,139.0,1.5M-2M
Dent St,h,Jellis,Southern Metropolitan,6.0,10-15 km,4,2.0,4.0,749.0,206.0,1.5M-2M
Vears Rd,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,3.0,724.0,168.0,1.5M-2M
Lucerne St,h,Buxton,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,605.0,111.0,1M-1.5M
Pitt St,h,Jellis,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,687.0,104.0,1M-1.5M
Ashburn Gr,t,Noel,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,321.0,199.0,1M-1.5M
Nicholas St,h,Marshall,Southern Metropolitan,6.0,10-15 km,5,3.0,4.0,700.0,266.0,1.5M-2M
Taylor St,h,Jellis,Southern Metropolitan,6.0,10-15 km,4,2.0,3.0,696.0,274.0,1.5M-2M
Highgate Gr,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,514.0,240.0,1.5M-2M
Pitt St,h,Tim,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,844.0,278.0,1.5M-2M
Poulter St,h,Marshall,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,697.0,164.0,1.5M-2M
Winbirra Pde,h,Purplebricks,Southern Metropolitan,6.0,10-15 km,4,3.0,2.0,372.0,201.0,1M-1.5M
Montrose St,h,Jellis,Southern Metropolitan,6.0,10-15 km,2,1.0,2.0,695.0,114.0,1M-1.5M
